"","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking"
"607",165,94123,3495,1,1,650,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage"
"608",164,94109,3400,2,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"609",163,94116,3750,2,2,1300,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"610",162,94114,2350,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"611",161,94115,3900,2,2,NA,"Apt","Multi Family",NA,NA,NA,"No","Both"
"612",160,94123,6950,4,2,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"613",159,94110,2595,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"614",158,94114,5995,3,2,1600,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"615",157,94114,4500,2,2,990,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"616",156,94116,2000,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"617",155,94115,4000,2,1,980,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"618",154,94115,3500,1,1,815,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"619",153,94115,3800,2,1,800,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"620",152,94109,2295,7,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"621",151,94131,5250,2,2,1000,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"622",150,94115,4500,2,2,1215,"Apt","Apartment",NA,"Baseboard",NA,"No","Both"
"623",149,94117,4900,3,2,1200,"Apt","Multi Family","Shared","Forced air",NA,"Yes",NA
"624",148,94133,2495,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"625",147,94115,3095,1,1,700,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"626",146,94121,2850,2,1,868,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"627",145,94109,2995,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"628",144,94109,8000,3,3,NA,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Garage"
"629",143,94115,3100,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"630",142,94131,4995,2,2.5,1294,"Apt","Multi Family","In Unit",NA,NA,"Yes","2"
"631",141,94131,5185,3,2,1392,"Apt","Apartment","In Unit",NA,NA,"Yes","Both"
"632",140,94103,3400,1,1,658,"Apt","Multi Family",NA,"Forced air","Central","No","Both"
"633",139,94131,2495,1,1,NA,"Apt","Apartment",NA,NA,"Central","Yes","Both"
"634",138,94121,3695,2,1,NA,"Apt","Multi Family","Shared","Radiant","None","Yes","Garage"
"635",137,94109,4950,2,2,1030,"Apt","Multi Family","Shared",NA,NA,"Yes","Garage"
"636",136,94109,4600,1,1,900,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"637",135,94109,6200,2,2,1115,"Apt","Multi Family","In Unit",NA,NA,"Yes","Both"
"638",134,94116,2900,2,1,2200,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"639",133,94114,3250,1,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"640",132,94117,2250,7,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"641",131,94117,2695,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"642",130,94118,5195,2,2,1600,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"643",129,94109,2250,7,1,300,"Apt","Multi Family",NA,NA,NA,"No",NA
"644",128,94109,3600,2,1.5,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"645",127,94122,4500,2,2,2278,"Apt","Apartment","Shared","Forced air","Other","Yes","Both"
"646",126,94109,4200,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"647",125,94109,3450,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"648",124,94115,2500,1,1,1396,"Apt","Multi Family",NA,NA,NA,"No",NA
"649",123,94114,2995,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"650",122,94123,2350,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"651",121,94133,1900,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"652",120,94123,2800,1,1,775,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"653",119,94123,3499,2,1,700,"Apt","Apartment",NA,"Forced air",NA,"Yes","Garage"
"654",118,94123,2600,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","9"
"655",117,94115,3995,2,2,NA,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA
"656",116,94110,3000,1,1,300,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"657",115,94110,3900,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"658",114,94123,3000,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes","15"
"659",113,94118,2100,1,1,NA,"Apt","Multi Family","Shared","Radiant","None","Yes","Both"
"660",112,94122,2350,1,1,NA,"Apt","Apartment","Shared",NA,"Central","Yes","Both"
"661",111,94115,2975,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"662",110,94123,4500,2,1,1235,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage"
"663",109,94102,1700,7,1,225,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"664",108,94110,4300,2,1,3100,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Garage"
"665",107,94132,5000,4,3,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"666",106,94115,3395,1,1,775,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"667",105,94123,2845,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"668",104,94115,1750,7,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"669",103,94109,2895,1,1,775,"Apt","Multi Family",NA,NA,NA,"No","Garage"
"670",102,94109,2600,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"671",101,94117,5800,3,1.5,1640,"Apt","Multi Family","In Unit",NA,NA,"No",NA
"672",100,94123,4000,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"673",99,94112,3195,2,1,1198,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"674",98,94114,5850,3,1.5,1800,"Apt","Multi Family","In Unit","Forced air","None","Yes","Garage"
"675",97,94129,3775,3,1,840,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"676",96,94123,3950,2,1,725,"Apt","Multi Family",NA,NA,NA,"Yes","Garage"
"677",95,94123,3995,1,1,1000,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"678",94,94122,2750,2,1,840,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"679",93,94123,2495,7,1,600,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"680",92,94129,3385,2,1,835,"Apt","Apartment","In Unit",NA,NA,"Yes","Both"
"681",91,94122,2395,1,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"682",90,94109,2400,7,1,600,"Apt","Multi Family",NA,NA,NA,"No",NA
"683",89,94110,4950,3,1,NA,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA
"684",88,94122,2000,7,1,350,"Apt","Multi Family","Shared",NA,NA,"No",NA
"685",87,94122,2350,1,1,600,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"686",86,94109,2975,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"687",85,94123,4000,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"688",84,94103,3995,2,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"689",83,94107,6000,3,2,1516,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"690",82,94127,5995,3,2,1700,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"691",81,94109,3150,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"692",80,94109,3995,2,1,1250,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"693",79,94122,4600,3,1,1500,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"694",78,94122,3888,2,2,1400,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"695",77,94109,3550,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"696",76,94118,3995,3,2,825,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"697",75,94122,4000,2,2,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"698",74,94117,2895,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"699",73,94109,4850,2,1,1396,"Apt","Multi Family","In Unit","Forced air",NA,"No","Garage"
"700",72,94109,5995,3,2,NA,"Apt","Apartment","In Unit",NA,NA,"Yes",NA
"701",71,94109,2195,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"702",70,94109,3000,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"703",69,94122,2600,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"704",68,94109,3595,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"705",67,94109,2850,1,1,490,"Apt","Apartment",NA,NA,NA,"Yes","Garage"
"706",66,94122,3300,3,1,2279,"Apt","Apartment","Shared",NA,NA,"Yes","Both"
"707",65,94114,5195,3,1,1200,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"708",64,94110,2950,2,2,NA,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage"
"709",63,94115,3999,2,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"710",62,94109,2900,7,1,500,"Apt","Multi Family",NA,"Forced air",NA,"No","Both"
"711",61,94115,3300,2,1,900,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"712",60,94127,5880,5,3,1650,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"713",59,94114,2795,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"714",58,94103,2995,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"715",57,94123,3600,1,1,567,"Apt","Apartment","Shared","Forced air","Other","Yes","Garage"
"716",56,94117,10895,5,2,1700,"Apt","Multi Family",NA,NA,NA,"Yes","Both"
"717",55,94109,2100,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"718",54,94109,12000,6,3,1635,"Apt","Apartment","In Unit","Forced air","Central","No","Both"
"719",53,94117,6290,3,1,1900,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"720",52,94114,4000,2,1,900,"Apt","Multi Family","In Unit",NA,NA,"Yes","Garage"
"721",51,94122,2700,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both"
"722",50,94122,2650,2,1,NA,"Apt","Multi Family",NA,"Forced air",NA,"Yes","Both"
"723",49,94107,4650,2,2,1125,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"724",48,94109,3950,1,1,800,"Apt","Apartment",NA,NA,NA,"Yes","Both"
"725",47,94109,7000,7,1,NA,"Apt","Apartment","Shared",NA,NA,"No",NA
"726",46,94108,3500,1,1,750,"Apt","Apartment",NA,"Forced air","Central","Yes","Both"
"727",45,94103,5000,2,2.5,1540,"Apt","Multi Family","In Unit","Forced air",NA,"No","Garage"
"728",44,94122,2795,1,1,800,"Apt","Multi Family","Shared",NA,NA,"No","Both"
"729",43,94109,2400,7,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"730",42,94103,2995,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"731",41,94123,3995,2,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"732",40,94122,2550,1,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"733",39,94118,4000,2,2,1000,"Apt","Multi Family","Shared","Forced air","Central","Yes",NA
"734",38,94117,2995,7,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"735",37,94110,3600,3,1,900,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"736",36,94108,5500,2,2.5,1399,"Apt","Multi Family",NA,NA,NA,"No",NA
"737",35,94108,14000,2,2,2070,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"738",34,94117,2240,1,1,700,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both"
"739",33,94103,3400,1,1,660,"Apt","Multi Family",NA,NA,NA,"No","1"
"740",32,94117,4500,3,1,2788,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"741",31,94131,2750,1,1,700,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"742",30,94109,3750,1,1,1800,"Apt","Multi Family",NA,NA,NA,"No","Garage"
"743",29,94109,17900,6,4,3451,"Apt","Apartment","In Unit","Forced air","Central","No","Both"
"744",28,94109,1800,7,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA
"745",27,94112,5695,7,NA,19486,"Apt","Multi Family","In Unit, Shared","Forced air","Central","Yes","Both"
"746",26,94109,2495,1,1,500,"Apt","Multi Family",NA,NA,NA,"No","Both"
"747",25,94109,1695,7,1,350,"Apt","Apartment","Shared","Forced air",NA,"Yes",NA
"748",24,94109,2700,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"749",23,94118,2975,2,1,NA,"Apt","Apartment",NA,NA,"Central","Yes","Both"
"750",22,94108,3595,1,1,650,"Apt","Multi Family","In Unit",NA,NA,"No","Garage"
"751",21,94117,5795,3,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"752",20,94131,2995,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Garage"
"753",19,94109,1895,7,1,380,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"754",18,94109,1800,7,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"755",17,94110,4395,3,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"756",16,94109,6200,3,2,1708,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Both"
"757",15,94109,2995,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"758",14,94109,1895,7,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes","Both"
"759",13,94117,3500,2,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"760",12,94114,3900,2,1,722,"Apt","Multi Family",NA,NA,NA,"Yes",NA
"761",10,94134,3650,3,2,800,"Apt","Apartment",NA,NA,NA,"Yes",NA
"762",11,94134,3500,3,2,1100,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"763",9,94134,3599,2,2,1337,"Apt","Multi Family",NA,NA,NA,"No",NA
"764",8,94133,3200,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes",NA
"765",7,94108,2795,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA
"766",6,94122,2725,1,1,750,"Apt","Multi Family","Shared",NA,NA,"Yes",NA
"767",5,94103,1699,1,1,420,"Apt","Multi Family",NA,NA,NA,"No",NA
"768",4,94105,5850,2,2,NA,"Apt","Multi Family",NA,NA,NA,"No",NA
"769",3,94105,3500,1,1,498,"Apt","Multi Family",NA,NA,NA,"No","Garage"
"770",2,94109,3500,1,1,600,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Both"
"771",1,94107,4800,2,1.5,1361,"Apt","Multi Family","In Unit","Forced air","Other","No","Garage"
"772",NA,94123,3095,1,1,600,"Apt","Multi Family","Shared",NA,"None","Yes","Garage"
"773",NA,94133,4900,1,1,1035,"Apt","Multi Family","Shared","Radiant","None","Yes","Garage"
